crs,exports
EPSG:3857,3202
EPSG:4326,30486
EPSG:2263,4
EPSG:5070,1275
EPSG:6368,66
EPSG:6372,1
EPSG:4236,36
EPSG:3035,86
EPSG:6350,119
ESPG:4326,13
EPSG:4362,4
EPSG:3577,41
EPSG:5347,78
EPSG:3413,6
EPSG:4674,78
EPSG:4629,1
EPSG:5266,1
EPSG:2285,2
EPSG:3107,1
EPSG:5345,7
EPSG:4261,1
EPSG:3395,61
EPSG:4327,2
EPSG:4978,1
EPSG:3031,67
EPSG:3995,4
EPSG:3587,1
EPSG:3148,9
EPSG:3338,407
EPSG:3460,8
EPSG:5940,9
EPSG:5072,30
EPSG:3111,16
EPSG:3410,2
EPSG:3005,32
EPSG:3785,1
EPSG:6703,1
EPSG:4229,2
EPSG:3572,16
EPSG:4988,2
EPSG:3310,7
EPSG:3426,1
EPSG:3070,15
EPSG:3978,9
EPSG:2100,171
EPSG:5880,8
EPSG:2056,171
EPSG:5344,83
EPSG:2157,1
EPSG:4547,2
SPSG:4326,1
EPSG:2771,7
EPSG:4623,3
EPSG:2454,12
EPSG:4543,46
EPSG:4269,16
EPSG:2052,1
EPSG:6894,2
EPSG:3920,2
EPSG:4175,4
EPSG:3400,2
EPSG:3571,51
EPSG:2193,5
EPSG:3116,29
EPSG:4235,1
EPSG:3411,1
EPSG:5348,2
EPSG:4324,1
EPSG:4807,1
EPSG:3844,1
EPSG:3301,2
ESRI:3857,8
EPSG:3307,1
EPSG:3405,1
EPSG:6381,4
EPSG:6347,1
EPSG:5367,1
EPSG:3112,3
EPSG:3246,1
EPSG:6283,1
EPSG:3042,1
EPSG:5357,1
EPSG:3979,2
EPSG:4490,4
EPSG:3408,3
EPSG:2163,7
EPGS:4269,2
EPSG:2223,1
EPSG:3826,1
EPSG:4133,4
EPSG:4297,14
EPSG:2958,14
EPSG:4032,4
EPSG:4509,1
EPSG:4087,22
EPSG:6974,1
EPSG:6931,5
EPSG:2364,2
EPSG:4526,2
